SMILES,Canonical PostEra ID,Protease Assay (Fluorescence) Dose-Response: IC50 (µM)
CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc12,EDJ-MED-06d94977-2,> 99.5
CCC(=O)Nc1ccc(cc1)N(C)C(=O)Cn1nnc2ccccc12,EDJ-MED-06d94977-1,> 99.5
CN(C)c1ccc(cc1)N(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,ALP-POS-d2866bdf-1,1.79
CNc1ccc(cc1)N(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,ALP-POS-c59291d4-4,4.33
O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(NC(=O)C2CC2)cc1,ALP-POS-c59291d4-3,3.99
CCC(=O)Nc1ccc(cc1)N(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,ALP-POS-c59291d4-2,1.63
O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)-c1ccccc1,ALP-POS-c59291d4-1,5.32
O=C(Cn1nnc2ccccc12)N(Cc1ccccn1)c1ccc(cc1)-n1cnnc1,ALP-POS-c0c213c9-18,> 99.5
O=C(Cn1nnc2ccccc12)N(Cc1ccccn1)c1cnc(nc1)-c1ccccc1,ALP-POS-c0c213c9-15,> 99.5
O=C(Cn1nnc2ccccc12)N(CC1CCOC1)c1ccc(cc1)C1CCNCC1,ALP-POS-c0c213c9-13,> 99.5
O=C(Cn1nnc2ccccc12)N(CC(=O)N1CCNCC1)c1ccc(cc1)-c1ccccc1,ALP-POS-c0c213c9-3,> 99.5
CN(C(=O)Cn1nnc2ccccc12)c1ccc(Oc2ccc(cn2)C(F)(F)F)cc1,AAR-POS-8a4e0f60-7,37.8
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,RUT-UNI-630c5802-20,78.5
